,_type,name,url,description,provider,datePublished,image._type,image.thumbnail._type,image.thumbnail.contentUrl,image.thumbnail.width,image.thumbnail.height,image.isLicensed
0,NewsArticle,IonQ will open quantum computer factory in the Seattle area and plans to invest $1B,https://www.msn.com/en-us/news/technology/ionq-will-open-quantum-computer-factory-in-the-seattle-area-and-plans-to-invest-dollar1b/ar-AA16yLal,"Maryland-based IonQ says it’s opening a 65,000-square foot research and manufacturing facility in Bothell, Wash., to build quantum computers.","[{'_type': 'Organization', 'name': 'Geekwire', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.8xuMx67galb6fHwFjOgRrA&pid=news'}}}]",2023-01-20T13:00:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.WgqBRvQqGHY8FVkKCW-6Ii&pid=News,1200.0,630.0,True
1,NewsArticle,"Google to Cut 12,000 Jobs, Its Largest Layoff Ever",https://www.msn.com/en-us/news/technology/google-to-cut-12-000-jobs-its-largest-layoffs-in-history/ar-AA16yw7d,"Google told employees in an email on Friday that it would be cutting 12,000 jobs, or 6% of its global workforce, in its largest layoff ever.","[{'_type': 'Organization', 'name': 'Gizmodo', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.BmhW-V67ouY4VKCzJMDoqQ&pid=news'}}}]",2023-01-20T11:40:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.mOND4TPPLMLIX7nhFhE0Py&pid=News,600.0,315.0,True
2,NewsArticle,"Google parent Alphabet cuts 6% of its workforce impacting 12,000 people, saying it had ‘hired for a different economic reality’",https://www.msn.com/en-us/news/technology/google-parent-alphabet-cuts-6percent-of-its-workforce-impacting-12000-people-saying-it-had-hired-for-a-different-economic-reality/ar-AA16ydD6,"Alphabet, parent holding company of Google, has announced that it’s cutting around 6% of its global workforce. In an open letter published by Google, CEO Sundar Pichai followed a similar narrative to","[{'_type': 'Organization', 'name': 'TechCrunch', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.M4e-NwwkSCFuKsTp672mxA&pid=news'}}}]",2023-01-20T11:16:00.0000000Z,,,,,,
3,NewsArticle,"Meta, Twitter, Microsoft and others urge Supreme Court not to allow lawsuits against tech algorithms",https://www.msn.com/en-us/money/other/meta-twitter-microsoft-and-others-urge-supreme-court-not-to-allow-lawsuits-against-tech-algorithms/ar-AA16yRiB,"A wide range of businesses, internet users, academics and even human rights experts defended Big Tech's liability shield Thursday in a pivotal Supreme Court case about YouTube algorithms, with some","[{'_type': 'Organization', 'name': 'CNN', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.t0BGYosS4GKZSebCajKQGA&pid=news'}}}]",2023-01-20T14:07:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.d94afHdORwzSfN9CislHmi&pid=News,600.0,315.0,True
4,NewsArticle,4 questions to ask when evaluating AI prototypes for bias,https://www.msn.com/en-us/news/technology/4-questions-to-ask-when-evaluating-ai-prototypes-for-bias/ar-AA16yR1x,"As AI teams bring new products to life, it’s critical that they ask themselves the right questions to eliminate all kinds of bias. 4 questions to ask when evaluating AI prototypes for bias by Ram Iyer","[{'_type': 'Organization', 'name': 'TechCrunch', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.M4e-NwwkSCFuKsTp672mxA&pid=news'}}}]",2023-01-20T14:00:00.0000000Z,,,,,,
5,NewsArticle,"Top Phones to Expect in 2023: Galaxy S23, iPhone 15 and More",https://www.msn.com/en-us/news/technology/top-phones-to-expect-in-2023-galaxy-s23-iphone-15-and-more/ar-AA15b5U7,"Thinking about upgrading your phone this year? Here's what Samsung, Apple, Google and OnePlus may have in store.","[{'_type': 'Organization', 'name': 'CNET', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.vS3pKUrPWgIKkQBHtUkEPQ&pid=news'}}}]",2023-01-20T12:30:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.jx3YbmC7MyTvomBVzbP-Xi&pid=News,1200.0,630.0,True
6,NewsArticle,EU watchdogs agree on how to handle certain cookie consent dark patterns,https://www.msn.com/en-us/news/technology/eu-watchdogs-agree-on-how-to-handle-certain-cookie-consent-dark-patterns/ar-AA16yBAM,"Cookie consent banners that use blatant design tricks to try to manipulate web users into agreeing to hand over their data for behavioral advertising, instead of giving people a free and fair choice","[{'_type': 'Organization', 'name': 'TechCrunch', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.M4e-NwwkSCFuKsTp672mxA&pid=news'}}}]",2023-01-20T12:02:00.0000000Z,,,,,,
7,NewsArticle,Amazon Music Unlimited is getting more expensive in 2023,https://www.msn.com/en-us/news/technology/amazon-music-unlimited-is-getting-more-expensive-in-2023/ar-AA16yYl3,Amazon is raising prices on its Amazon Music Unlimited subscriptions in February 2023 following a similar move from Apple in 2022.,"[{'_type': 'Organization', 'name': 'Digital Trends', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.x644vROjZrRe0pKC7YX3XQ&pid=news'}}}]",2023-01-20T15:32:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.d7e_kEhg4nq-mVfUo5wHSS&pid=News,799.0,533.0,True
8,NewsArticle,Great White Shark With Battle Scars and Scratches Filmed by Scientists,https://www.msn.com/en-us/news/world/great-white-shark-with-battle-scars-and-scratches-filmed-by-scientists/ar-AA16z4Pz,"""Her presence was awe-inspiring,"" researcher Riley Elliott said of the 10.5-foot-long great white that was tagged in New Zealand as part of a tracking project.","[{'_type': 'Organization', 'name': 'Newsweek', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.uTJA7JDoTGKvff5o3jotfg&pid=news'}}}]",2023-01-20T13:37:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.jc7FHLHjJb0jzXnR-zC7Dy&pid=News,1200.0,630.0,True
9,NewsArticle,"This $30,000 computer’s source code has just been released for free",https://www.msn.com/en-us/news/other/this-30-000-computer-s-source-code-has-just-been-released-for-free/ar-AA16y9ma,"The Apple Lisa changed the course of computing history. To mark its 40th birthday, its source code has been released for free by the Computing History Museum.","[{'_type': 'Organization', 'name': 'Digital Trends', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.x644vROjZrRe0pKC7YX3XQ&pid=news'}}}]",2023-01-20T11:56:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.mWFiRB1Ymna5thcnBJ938y&pid=News,600.0,315.0,True
10,NewsArticle,"Climate crisis misinformation is thriving on Elon Musk's Twitter, research shows",https://www.msn.com/en-us/money/other/climate-crisis-misinformation-is-thriving-on-elon-musks-twitter-research-shows/ar-AA16ymmb,"The hashtag ""#ClimateScam"" suddenly spiked on Twitter in July 2022 and has been increasing ever since, per the study.","[{'_type': 'Organization', 'name': 'Business Insider', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.q-ZVWyz-qFnnPRsNgOLlfQ&pid=news'}}}]",2023-01-20T13:29:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.Ik5w_Wb99YMiA1NRuYsFDi&pid=News,1200.0,630.0,True
11,NewsArticle,TikTok’s Secret ‘Heating’ Button Can Make Anyone Go Viral,https://www.msn.com/en-us/money/other/tiktok-s-secret-heating-button-can-make-anyone-go-viral/ar-AA16yO2d,"Moreover, documents show that staff — including those at TikTok’s parent company, ByteDance, and even contractors working with the company — exercise considerable discretion in deciding which content","[{'_type': 'Organization', 'name': 'Forbes', 'image': {'_type': 'ImageObject', 'thumbnail': {'_type': 'ImageObject', 'contentUrl': 'https://www.bing.com/th?id=ODF.U6nYa4Huf-RFEhjg-V4hNg&pid=news'}}}]",2023-01-20T15:15:00.0000000Z,ImageObject,ImageObject,https://www.bing.com/th?id=OVFT.vakXnf1M3gvlGGykvVAUGC&pid=News,600.0,315.0,True
