,title,description,content,url,image,publishedAt,source.name,source.url
0,9 New Things Zelda Fans Are Frenzied Over,Malice enemies? Spirits of the dead? Zelda fans are popping off with fan theories for Tears of the Kingdom,"Zelda has the slate
I’m sorry to revive this for the billionth time, and honestly, I’m not going to get my hopes up here. I’ve already gotten burned. Nintendo can say it already gave me what I wanted in the musou spin-off. But isn’t it interesting th... [348 chars]",https://kotaku.com/zelda-tears-of-the-kingdom-botw-2-legend-trailer-theory-1850096171,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/cde0a2c901029e52a5f473687e2aeef1.jpg",2023-02-09T22:30:00Z,Kotaku,https://kotaku.com
1,Billionaire Israel Englander 'bilked' ex-wife out of billions,Billionaire Israel Englander allegedly “terrorized” his estranged wife and her new gallerist girlfriend to bilk her of billions in their divorce settlement.,"Billionaire hedge fund manager Israel Englander allegedly “terrorized” his estranged wife and her new gallerist girlfriend in an effort to bilk her of billions in their divorce settlement, the women claim in new court papers.
The 74-year-old Millenni... [4636 chars]",https://nypost.com/2023/02/09/billionaire-israel-englander-bilked-ex-wife-out-of-billions/,https://nypost.com/wp-content/uploads/sites/2/2023/02/NYPICHPDPICT000006391971.jpg?quality=75&strip=all&w=1024,2023-02-09T20:54:00Z,New York Post ,https://nypost.com
2,How to give the Game Boy and GBA games a retro look on Nintendo Switch,"The Nintendo Switch’s Game Boy and Game Boy Advance apps allow you to put a ""classic feel"" filter over the games to make pixel art look a little bit better.","Just a PSA to those who have Nintendo Switch Online and want to dive immediately into the Game Boy and Game Boy Advance games: you can add a “classic feel” filter to replicate the old-school look of playing on one of these handheld devices.
By going ... [1153 chars]",https://www.polygon.com/guides/23593050/game-boy-advance-nintendo-switch-online-filter-classic-feel,https://cdn.vox-cdn.com/thumbor/di7X6gANfwQ_ORl6_xmJTO8b7EE=/0x37:1918x1041/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/24421368/GameCapture_2023_02_09_14_29_14.jpg,2023-02-09T20:05:10Z,Polygon,https://www.polygon.com
3,1Password is trying for zero passwords,The password manager will soon support the option to create and unlock 1Password accounts using biometric-based passkey technology in its latest step to ditch traditional passwords for good.,"1Password is announcing today that, one day soon, it will support the option to create and unlock 1Password accounts using biometric-based passkey technology, ditching the feature that is the name of its entire product.
“For passkeys to be the way fo... [1847 chars]",https://www.theverge.com/2023/2/9/23592917/1password-passkey-password-account-security-biometric-authentication,https://cdn.vox-cdn.com/thumbor/dxGuLERZsm0dj9_UscJ31FnNzy4=/0x0:1266x817/1200x628/filters:focal(656x422:657x423)/cdn.vox-cdn.com/uploads/chorus_asset/file/24206631/1password_passkey_announcement.jpg,2023-02-09T19:53:28Z,The Verge,https://www.theverge.com
4,AMD EPYC Genoa CPU & Instinct MI300 APU Powered Atos BullSequana XH3000 To Power MPCDF Supercomputer,Atos has announced that its AMD EPYC Genoa CPU & Instinct MI300 APU-powered BullSequana XH3000 will power the upcoming MPCDF Supercomputer.,"Atos has announced that its AMD EPYC Genoa CPU & Instinct MI300 APU-powered BullSequana XH3000 will power the upcoming MPCDF Supercomputer.
AMD Grabs Another Supercomputer Deal Through Atos, Leveraging EPYC Genoa CPUs & Instinct Mi300 APUs On The Bul... [4268 chars]",https://wccftech.com/amd-epyc-genoa-cpu-instinct-mi300-apu-powered-atos-bullsequana-xh3000-to-power-mpcdf-supercomputer/,https://cdn.wccftech.com/wp-content/uploads/2023/02/Atos-BullSequana-HX3000-AMD-EPYC-Genoa-CPUs-Instinct-Mi300-GPUs-Supercomputer-_1-728x410.png,2023-02-09T19:07:00Z,Wccftech,https://wccftech.com
5,Here Are the Best Car References in Non-Driving Video Games,There are plenty of great video games and sims that are all about cars. But sometimes it's fun to hunt for cool cars where they're simply side characters.,"This week's Quick Question asked: ""Which non-driving video games have the coolest cars?"" Our readers had some good suggestions, we'll share a few favorites here.
The Famous Car-Smash Stage
Street fighter. Lexus ~ Just Here (also referenced by paul_c_... [2181 chars]",https://www.thedrive.com/news/here-are-the-best-car-references-is-non-driving-video-games,https://www.thedrive.com/uploads/2023/02/09/Street-Fighter-top.jpg?auto=webp,2023-02-09T18:02:48Z,The Drive,https://www.thedrive.com
6,Overwatch 2 players are using the game’s new map to spawn infinite fish,Overwatch 2’s Antarctic Peninsula map has a fishing hole that shoots out fish when players fire into it. Fans are using custom content modes to break the game with piles of fish.,"Overwatch fans are used to finding their own fun in quiet corners of the map or in the lobby. One of the most consistent parts of the first game was everyone in a waiting room rushing up to a toy basketball to try and sink it in a hoop, or going abso... [1505 chars]",https://www.polygon.com/23591714/overwatch-2-antarctic-peninsula-fish-hole-weapon-spam,https://cdn.vox-cdn.com/thumbor/wxJDKW8_orHMRpt3YAOW9JIqCB4=/0x75:3840x2085/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/24419221/Antarctic_Peninsula_4.png,2023-02-09T17:15:00Z,Polygon,https://www.polygon.com
7,Explore the zone and bond with your station wagon in Pacific Drive,"Eurogamer's preview of Pacific Drive, coming to PS5 and PC in 2023.","There are lots of games about cars, but Pacific Drive is different. What makes it stand out for me is the car itself - or, more specifically, the relationship you have with the car.
Pacific Drive preview Developer: Ironwood Studios
Ironwood Studios P... [9745 chars]",https://www.eurogamer.net/explore-the-zone-and-bond-with-your-station-wagon-in-pacific-drive,https://assets.reedpopcdn.com/pacific-drive-preview-7.png/BROK/thumbnail/1200x630/pacific-drive-preview-7.png,2023-02-09T17:12:43Z,Eurogamer.net,https://www.eurogamer.net
8,Pizza Tower is paradise for Wario freaks,"A frantic, fantastic retro platformer on Windows PC that goes above and beyond its inspirations, including Nintendo’s Wario.","I simply cannot believe Pizza Tower is as good as it is. I don’t mean to doubt the skill of Tour De Pizza, the small studio behind the wacked-out platformer — it’s just that, in my experience, a retro-inspired indie title of this scope normally has s... [4776 chars]",https://www.polygon.com/reviews/23590917/pizza-tower-review-wario-land-best-platformers-wahaha,https://cdn.vox-cdn.com/thumbor/mvOBQagnpB-VM7z_VBsLmPbAIis=/0x72:960x575/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/24418300/ss_367286326c9a6ba91d4b2f08d0ca5fd1a47f2455_copy.jpg,2023-02-09T16:00:00Z,Polygon,https://www.polygon.com
9,DJI Updated Its Entry Level Lightweight Drone With 10 km Range,The long rumored update to the DJI Mini SE can now also be piloted from up to 10 kilometers away.,"The DJI Mini lineup offers some of the best drones on the market for novice pilots, starting with the very affordable $279 DJI Mini SE. Today, DJI revealed an upgraded version of that entry-level model, the DJI Mini 2 SE, which comes with some minor ... [2037 chars]",https://gizmodo.com/dji-mini-2-se-range-battery-life-price-drone-no-license-1850093361,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/af5c77c59b3f3c437b8c55e579fff502.jpg",2023-02-09T15:35:00Z,Gizmodo,https://gizmodo.com
