,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Daniel Newman,"Microsoft Launches AI-Powered Search, “Binging” In Next Generation Of The Internet - Forbes","Microsoft announced its next Bing search tool and a revamped Edge Browser powered by OpenAI and the popular ChatGPT at an exclusive event in Redmond. A look at the announcements and what it means for consumers, Microsoft, and its competition.",https://www.forbes.com/sites/danielnewman/2023/02/09/microsoft-launches-ai-powered-search-binging-in-next-generation-of-the-internet/,https://imageio.forbes.com/specials-images/imageserve/63e578434e28f14b0bf721e5/0x0.jpg?format=jpg&width=1200,2023-02-10T00:08:33Z,"Satya Nadella delivering an update on the Microsoft's AI strategy ahead of the unveiling of its new ... [+] Bing and Edge Browser (2/7/2023)
Daniel Newman - Futurum Research
This week, Microsoft ga… [+6167 chars]",,Forbes
1,Liam Doolan,Zelda: Tears Of The Kingdom Apparently Has The Biggest File Size Of Any First-Party Switch Release - Nintendo Life,Get ready for an absolutely massive adventure,https://www.nintendolife.com/news/2023/02/zelda-tears-of-the-kingdom-apparently-has-the-biggest-file-size-of-any-first-party-switch-release,https://images.nintendolife.com/5ae22eb00ccee/1280x720.jpg,2023-02-10T00:05:00Z,"Image: Nintendo
The Legend of Zelda: Tears of the Kingdom has been in development for many years now, and it's expected to be a rather big game. If you have been wondering just how massive Link's ne… [+1072 chars]",,Nintendo Life
2,Toby Walsh,"Bard, Bing and Baidu: How big tech's AI race will transform search - SmartCompany",No sooner did Google introduce the Bard chatbot into its search facility than Microsoft and other tech giants followed suit.,http://www.smartcompany.com.au/technology/bard-big-tech-ai-race-search-engine/,https://www.smartcompany.com.au/wp-content/uploads/2023/02/search1.jpg,2023-02-10T00:03:16Z,"Source: shutterstock.
Today, if you want to find a good moving company, you might ask your favourite search engine Google, Bing, or perhaps DuckDuckGo for some advice.
After wading past half a page… [+5402 chars]",,SmartCompany.com.au
3,"Song Jung-a, Leo Lewis",Samsung shifts upmarket to tackle sagging phone sales - Financial Times,Premium Galaxy S23 models come as Korean handset maker struggles to compete with lower-cost Chinese rivals,https://www.ft.com/content/bbb5415b-dd3e-4e58-b73f-9fc6a947d303,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe4d111e3-ed41-46b7-814b-122383148c06.jpg?source=next-opengraph&fit=scale-down&width=900,2023-02-10T00:01:41Z,"A day after Samsung presented a depressing assessment to investors of the global handset market in 2023, the worlds biggest smartphone maker delivered an upbeat, splashy presentation to the media to … [+5787 chars]",financial-times,Financial Times
4,,Why Nintendo Is Pricing Tears Of The Kingdom At $70 | GameSpot News - GameSpot,"Nintendo comments on The Legend of Zelda: Tears of the Kingdom's price hike, highlights from the recent Nintendo Direct, and how to save money on Zelda and o...",https://www.youtube.com/watch?v=HlrTkNp2BPY,https://i.ytimg.com/vi/HlrTkNp2BPY/maxresdefault.jpg,2023-02-10T00:00:10Z,,,YouTube
5,,How to not struggle with Hogwarts Legacy combat #hogwartslegacy #harrypotter #gamingtips #shorts - IGN,Watch the full video of tips: https://youtu.be/kJmcJksmTtI,https://www.youtube.com/watch?v=Wel1WyZKJig,https://i.ytimg.com/vi/Wel1WyZKJig/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAK4CIoCDAgAEAEYSSBUKGUwDw==&rs=AOn4CLC1di4GW71dMoyJQIOf_eOPKlMpRg,2023-02-09T23:52:17Z,,,YouTube
6,Leah J. Williams,All the exclusive games in Japan's Nintendo Direct February 2023 - GamesHub,The latest Nintendo Direct included some exclusive games for audiences in Japan. Here's everything you need to know.,https://www.gameshub.com/news/news/nintendo-direct-february-2023-japan-exclusive-games-40668/,https://www.gameshub.com/wp-content/uploads/sites/5/2023/02/paranormasight-nintendo-direct.jpeg,2023-02-09T23:45:00Z,"As is tradition, the latest Nintendo Direct arrived with a few exclusive surprises for audiences in Japan. While this regional Direct largely resembled the global version, four additional games made … [+2975 chars]",,Gameshub.com
7,Mark Hachman,Hands-on: Microsoft's new AI-powered Bing can write essays and plan vacations - PCWorld,"Microsoft has released Bing's new search engine and chat interface, powered by AI and a version of ChatGPT. How well does it work? Surprisingly, pretty great.",https://www.pcworld.com/article/1506016/hands-on-with-bings-ai-chat-and-search.html,https://www.pcworld.com/wp-content/uploads/2023/02/Bing-home-page-screenshot-2.png?w=1024,2023-02-09T23:41:00Z,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Bing’s new AI-powere… [+8903 chars]",,PCWorld
8,,Why Hogwarts Legacy doesn't have Quidditch #hogwartslegacy #harrypotter #gaming #shorts - IGN,Watch the full IGN review of Hogwarts Legacy: https://youtu.be/F6dZxoob8CY,https://www.youtube.com/watch?v=f5l4npA5oXI,https://i.ytimg.com/vi/f5l4npA5oXI/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBWKD0wDw==&rs=AOn4CLBgFIojgC3EYbkiIzQLUWEOjqitpQ,2023-02-09T23:38:48Z,,,YouTube
9,,"Before she was Riri, she auditioned for Shuri #blackpanther #wakandaforever #mcu #marvel #shorts - IGN",,https://www.youtube.com/watch?v=oiI0GH8E-lM,https://i.ytimg.com/vi/oiI0GH8E-lM/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAK4CIoCDAgAEAEYZSBXKEUwDw==&rs=AOn4CLACp7LCTnr9Ry8eIvb6AELc1wtvUg,2023-02-09T23:35:47Z,,,YouTube
