id,text,likes,quotes,retweets
1618730398980382730,I have tons of respect for @ylecun but I think his ChatGPT takes are (intentionally?) missing the point. It doesn't matter at all if it's groundbreaking *research*. It's a groundbreaking *product*.,0,0,0
1618730382345527296,See how Buzzfeed is using AI to create chatbots and quizzes. #AI #AIJournalism #Buzzfeed #JonahPeretti #GPTQuiz https://t.co/cOgrx63RZK,0,0,0
1618730334471987207,I told #ChatGPT to make me daily workouts using my available equipment. 🤖🏋🏿‍♂️💪🏿 #ai #fitness https://t.co/QkFOTfi7dw,0,0,0
1618730333683458053,⚡️A script that generates random poetry using #Python and GPT-3! 📝 💻 #gpt3 #ChatGPT #coding #programming #datascience #Python #learning #code #work https://t.co/lyjY6l4wtO,0,0,1
1618730267744804874,Business Insider - A Wharton business school professor is requiring his students to use ChatGPT https://t.co/wQBztElxl4 https://t.co/vjeHSlehnT,0,0,0
1618730262925549575,A Wharton business school professor is requiring his students to use ChatGPT https://t.co/BS3I9jB0ep,0,0,0
1618730262833274894,A Wharton business school professor is requiring his students to use ChatGPT https://t.co/eJ1eB9SB9V,0,0,0
1618730261407043586,Who killed JFK? This is what #ChatGPT answers: https://t.co/rmAV0XZhDu https://t.co/AGQaqDYYYp,0,0,0
1618730250187292675,"Teachers must ensure students are learning—and not just outsourcing tasks to AI, warns @rickhess99. #EWOpinion #RHSU https://t.co/2ipQE2dsH9",0,0,0
1618730240804528128,101 Mindblowing ChatGPT Hacks : Boost Your Social Media Reach with ChatGPT https://t.co/zPxMBA8uKn,0,0,0
